# FreeBSD 9.1 AMD64
# hw.model: Intel(R) Xeon(R) CPU           E5504  @ 2.00GHz
# hw.ncpu: 8
# 24GB RAM
#
# Note significant regression in HTTP Client/Server performance

benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            9082116000   9873447864   +8.71%
BenchmarkFannkuch11              9223719000   6494652889  -29.59%
BenchmarkFmtFprintfEmpty                215          159  -26.05%
BenchmarkFmtFprintfString               736          488  -33.70%
BenchmarkFmtFprintfInt                  513          332  -35.28%
BenchmarkFmtFprintfIntInt               834          561  -32.73%
BenchmarkFmtFprintfPrefixedInt          823          605  -26.49%
BenchmarkFmtFprintfFloat               1140          879  -22.89%
BenchmarkFmtManyArgs                   3448         2188  -36.54%
BenchmarkGobDecode                 32186080     20613430  -35.96%
BenchmarkGobEncode                 17562370     22016968  +25.36%
BenchmarkGzip                     787479200    857355938   +8.87%
BenchmarkGunzip                   348540600    213999288  -38.60%
BenchmarkHTTPClientServer            144770      8017199  +5437.89%
BenchmarkJSONEncode               116425800     74349730  -36.14%
BenchmarkJSONDecode               473913600    176213422  -62.82%
BenchmarkMandelbrot200             11956050      7568888  -36.69%
BenchmarkGoParse                   12290810     10298989  -16.21%
BenchmarkRegexpMatchEasy0_32            246          203  -17.48%
BenchmarkRegexpMatchEasy0_1K            707          595  -15.84%
BenchmarkRegexpMatchEasy1_32            214          194   -9.35%
BenchmarkRegexpMatchEasy1_1K           1710         1758   +2.81%
BenchmarkRegexpMatchMedium_32           379          356   -6.07%
BenchmarkRegexpMatchMedium_1K        136719       138920   +1.61%
BenchmarkRegexpMatchHard_32            6351         6625   +4.31%
BenchmarkRegexpMatchHard_1K          198566       212172   +6.85%
BenchmarkRevcomp                 1760837000   1528205110  -13.21%
BenchmarkTemplate                 687351600    217600857  -68.34%
BenchmarkTimeParse                     2115          832  -60.66%
BenchmarkTimeFormat                    4078          957  -76.53%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    23.85        37.23    1.56x
BenchmarkGobEncode                    43.70        34.86    0.80x
BenchmarkGzip                         24.64        22.63    0.92x
BenchmarkGunzip                       55.67        90.68    1.63x
BenchmarkJSONEncode                   16.67        26.10    1.57x
BenchmarkJSONDecode                    4.09        11.01    2.69x
BenchmarkGoParse                       4.71         5.62    1.19x
BenchmarkRegexpMatchEasy0_32         129.97       157.26    1.21x
BenchmarkRegexpMatchEasy0_1K        1447.66      1720.31    1.19x
BenchmarkRegexpMatchEasy1_32         148.96       164.18    1.10x
BenchmarkRegexpMatchEasy1_1K         598.50       582.21    0.97x
BenchmarkRegexpMatchMedium_32          2.64         2.80    1.06x
BenchmarkRegexpMatchMedium_1K          7.49         7.37    0.98x
BenchmarkRegexpMatchHard_32            5.04         4.83    0.96x
BenchmarkRegexpMatchHard_1K            5.16         4.83    0.94x
BenchmarkRevcomp                     144.34       166.32    1.15x
BenchmarkTemplate                      2.82         8.92    3.16x

benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                 61          209  +242.06%
BenchmarkAppend1Byte                           753          336  -55.38%
BenchmarkAppend4Bytes                         1372          497  -63.78%
BenchmarkAppend8Bytes                          753          633  -15.94%
BenchmarkAppend16Bytes                         783          857   +9.45%
BenchmarkAppend32Bytes                         783          826   +5.49%
BenchmarkAppendSpecialCase                      61           64   +5.40%
BenchmarkSelectUncontended                     386          405   +4.92%
BenchmarkSelectContended                       394          421   +6.85%
BenchmarkSelectNonblock                        171          175   +2.34%
BenchmarkChanUncontended                       104          107   +2.88%
BenchmarkChanContended                         106          107   +0.94%
BenchmarkChanSync                              277          227  -18.05%
BenchmarkChanProdCons0                         300          249  -17.00%
BenchmarkChanProdCons10                        150          140   -6.67%
BenchmarkChanProdCons100                       113          111   -1.77%
BenchmarkChanProdConsWork0                    2971         1235  -58.43%
BenchmarkChanProdConsWork10                   2839         1131  -60.16%
BenchmarkChanProdConsWork100                  2800         1098  -60.79%
BenchmarkChanCreation                          299          298   -0.33%
BenchmarkChanSem                               103          104   +0.97%
BenchmarkCallClosure                             5            4  -16.57%
BenchmarkCallClosure1                            6            5   -6.39%
BenchmarkCallClosure2                          125           86  -30.48%
BenchmarkCallClosure3                          127           89  -29.84%
BenchmarkCallClosure4                          127           90  -29.13%
BenchmarkComplex128DivNormal                   102           45  -55.78%
BenchmarkComplex128DivNisNaN                   100           23  -76.50%
BenchmarkComplex128DivDisNaN                    99           24  -75.30%
BenchmarkComplex128DivNisInf                    77           19  -75.52%
BenchmarkComplex128DivDisInf                    65           19  -70.05%
BenchmarkConvT2ESmall                           18           17   -3.89%
BenchmarkConvT2EUintptr                         16            1  -93.94%
BenchmarkConvT2ELarge                          144           98  -31.32%
BenchmarkConvT2ISmall                           35           19  -43.30%
BenchmarkConvT2IUintptr                         35            2  -94.30%
BenchmarkConvT2ILarge                          163          102  -37.42%
BenchmarkConvI2E                                 9            7  -22.28%
BenchmarkConvI2I                                29           24  -17.23%
BenchmarkAssertE2T                              21           18  -11.90%
BenchmarkAssertE2TLarge                         26           20  -23.37%
BenchmarkAssertE2I                              32           27  -13.40%
BenchmarkAssertI2T                              22           18  -15.91%
BenchmarkAssertI2I                              33           28  -15.41%
BenchmarkAssertI2E                              11            7  -36.27%
BenchmarkAssertE2E                               1            1  -33.33%
