# 3.4 GHz Intel Core i7, 16 GB 1600 MHz DDR3
# OS X 10.8.3 (Build 12D78)
# iMac 27-inch, Late 2012
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            4312175000   4198238779   -2.64%
BenchmarkFannkuch11              3867743000   2937802307  -24.04%
BenchmarkFmtFprintfEmpty                110           82  -24.73%
BenchmarkFmtFprintfString               353          223  -36.83%
BenchmarkFmtFprintfInt                  293          161  -45.05%
BenchmarkFmtFprintfIntInt               491          287  -41.55%
BenchmarkFmtFprintfPrefixedInt          403          284  -29.53%
BenchmarkFmtFprintfFloat                568          424  -25.35%
BenchmarkFmtManyArgs                   1914         1064  -44.41%
BenchmarkGobDecode                 18254260      9503433  -47.94%
BenchmarkGobEncode                  9266185     11179236  +20.65%
BenchmarkGzip                     378881000    383300754   +1.17%
BenchmarkGunzip                   162661200    109123626  -32.91%
BenchmarkHTTPClientServer             97334        65382  -32.83%
BenchmarkJSONEncode                62968200     36889255  -41.42%
BenchmarkJSONDecode               241813000     82096482  -66.05%
BenchmarkMandelbrot200              6380876      3924962  -38.49%
BenchmarkGoParse                    6700872      5364832  -19.94%
BenchmarkRegexpMatchEasy0_32            130          106  -18.46%
BenchmarkRegexpMatchEasy0_1K            386          293  -24.09%
BenchmarkRegexpMatchEasy1_32            113           85  -24.78%
BenchmarkRegexpMatchEasy1_1K            887          766  -13.64%
BenchmarkRegexpMatchMedium_32           196          162  -17.35%
BenchmarkRegexpMatchMedium_1K         61178        59270   -3.12%
BenchmarkRegexpMatchHard_32            3286         2873  -12.57%
BenchmarkRegexpMatchHard_1K          103211        95908   -7.08%
BenchmarkRevcomp                  791244600    722338751   -8.71%
BenchmarkTemplate                 372291600    117154862  -68.53%
BenchmarkTimeParse                      982          414  -57.84%
BenchmarkTimeFormat                    1978          423  -78.61%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    42.05        80.76    1.92x
BenchmarkGobEncode                    82.83        68.66    0.83x
BenchmarkGzip                         51.22        50.63    0.99x
BenchmarkGunzip                      119.30       177.82    1.49x
BenchmarkJSONEncode                   30.82        52.60    1.71x
BenchmarkJSONDecode                    8.02        23.64    2.95x
BenchmarkGoParse                       8.64        10.80    1.25x
BenchmarkRegexpMatchEasy0_32         245.55       301.81    1.23x
BenchmarkRegexpMatchEasy0_1K        2649.90      3494.21    1.32x
BenchmarkRegexpMatchEasy1_32         281.15       376.51    1.34x
BenchmarkRegexpMatchEasy1_1K        1154.06      1335.19    1.16x
BenchmarkRegexpMatchMedium_32          5.09         6.15    1.21x
