# linux/arm, pandaboard, ARMv7 OMAP4 processor at 1Ghz
# archlinuxarm

benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17          166134348000  53239665014  -67.95%
BenchmarkFannkuch11             49214675000  38255833457  -22.27%
BenchmarkFmtFprintfEmpty               3781         1026  -72.86%
BenchmarkFmtFprintfString             11148         3148  -71.76%
BenchmarkFmtFprintfInt                 8621         2301  -73.31%
BenchmarkFmtFprintfIntInt             12097         3518  -70.92%
BenchmarkFmtFprintfPrefixedInt        10275         3803  -62.99%
BenchmarkFmtFprintfFloat              27563         8359  -69.67%
BenchmarkFmtManyArgs                  43315        14561  -66.38%
BenchmarkGobDecode                262999400    134839743  -48.73%
BenchmarkGobEncode                197090800     66431096  -66.29%
BenchmarkGzip                    7456137000   6328654430  -15.12%
BenchmarkGunzip                  2037500000   1039862719  -48.96%
BenchmarkHTTPClientServer           1333271       519327  -61.05%
BenchmarkJSONEncode              1812990000    675803954  -62.72%
BenchmarkJSONDecode              5010224000   1576670408  -68.53%
BenchmarkMandelbrot200             57851340     57355719   -0.86%
BenchmarkGoParse                  150361000     60398952  -59.83%
BenchmarkRegexpMatchEasy0_32           4837         1304  -73.04%
BenchmarkRegexpMatchEasy0_1K          26024         5136  -80.26%
BenchmarkRegexpMatchEasy1_32           4483         1357  -69.73%
BenchmarkRegexpMatchEasy1_1K          46140        13159  -71.48%
BenchmarkRegexpMatchMedium_32          8081         2499  -69.08%
BenchmarkRegexpMatchMedium_1K       2456315       821477  -66.56%
BenchmarkRegexpMatchHard_32          121851        44659  -63.35%
BenchmarkRegexpMatchHard_1K         3647422      1363137  -62.63%
BenchmarkRevcomp                  277290600    129786000  -53.19%
BenchmarkTemplate                9846469000   1509409228  -84.67%
BenchmarkTimeParse                    17263        12748  -26.15%
BenchmarkTimeFormat                   67222        12814  -80.94%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     2.92         5.69    1.95x
BenchmarkGobEncode                     3.89        11.55    2.97x
BenchmarkGzip                          2.60         3.07    1.18x
BenchmarkGunzip                        9.52        18.66    1.96x
BenchmarkJSONEncode                    1.07         2.87    2.68x
BenchmarkJSONDecode                    0.39         1.23    3.15x
BenchmarkGoParse                       0.39         0.96    2.46x
BenchmarkRegexpMatchEasy0_32           6.62        24.53    3.71x
BenchmarkRegexpMatchEasy0_1K          39.35       199.35    5.07x
BenchmarkRegexpMatchEasy1_32           7.14        23.58    3.30x
