# linux/amd64 Lenovo x220, 8Gb ram, Core i5 2.5Ghz
# Ubuntu 13.04 
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647   +1.36%
BenchmarkFannkuch11              2147483647   2147483647  -24.67%
BenchmarkFmtFprintfEmpty                141           97  -30.71%
BenchmarkFmtFprintfString               457          291  -36.32%
BenchmarkFmtFprintfInt                  337          199  -40.95%
BenchmarkFmtFprintfIntInt               554          335  -39.53%
BenchmarkFmtFprintfPrefixedInt          492          363  -26.22%
BenchmarkFmtFprintfFloat                711          515  -27.57%
BenchmarkFmtManyArgs                   2184         1299  -40.52%
BenchmarkGobDecode                 20844230     11922076  -42.80%
BenchmarkGobEncode                 11012130     14152010  +28.51%
BenchmarkGzip                     472843800    487816872   +3.17%
BenchmarkGunzip                   216132300    134829044  -37.62%
BenchmarkHTTPClientServer            411762        48794  -88.15%
BenchmarkJSONEncode                73947550     45027013  -39.11%
BenchmarkJSONDecode               283462400    100617412  -64.50%
BenchmarkMandelbrot200              7470375      4797614  -35.78%
BenchmarkGoParse                    7513845      6324508  -15.83%
BenchmarkRegexpMatchEasy0_32            159          134  -15.72%
BenchmarkRegexpMatchEasy0_1K            436          349  -19.95%
BenchmarkRegexpMatchEasy1_32            138          105  -23.91%
BenchmarkRegexpMatchEasy1_1K            999          949   -5.01%
BenchmarkRegexpMatchMedium_32           231          198  -14.29%
BenchmarkRegexpMatchMedium_1K         73579        76613   +4.12%
BenchmarkRegexpMatchHard_32            3742         3563   -4.78%
BenchmarkRegexpMatchHard_1K          119196       117695   -1.26%
BenchmarkRevcomp                 1039018000    916561646  -11.79%
BenchmarkTemplate                 412101800    132920036  -67.75%
BenchmarkTimeParse                     1130          479  -57.61%
BenchmarkTimeFormat                    2357          539  -77.13%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    36.82        64.38    1.75x
BenchmarkGobEncode                    69.70        54.23    0.78x
BenchmarkGzip                         41.04        39.78    0.97x
BenchmarkGunzip                       89.78       143.92    1.60x
BenchmarkJSONEncode                   26.24        43.10    1.64x
BenchmarkJSONDecode                    6.85        19.29    2.82x
BenchmarkGoParse                       7.71         9.16    1.19x
BenchmarkRegexpMatchEasy0_32         200.02       237.96    1.19x
BenchmarkRegexpMatchEasy0_1K        2343.66      2927.74    1.25x
BenchmarkRegexpMatchEasy1_32         231.19       303.13    1.31x
BenchmarkRegexpMatchEasy1_1K        1024.81      1078.58    1.05x
BenchmarkRegexpMatchMedium_32          4.32         5.04    1.17x
BenchmarkRegexpMatchMedium_1K         13.92        13.37    0.96x
BenchmarkRegexpMatchHard_32            8.55         8.98    1.05x
BenchmarkRegexpMatchHard_1K            8.59         8.70    1.01x
BenchmarkRevcomp                     244.62       277.30    1.13x
BenchmarkTemplate                      4.71        14.60    3.10x

