# benchmark on a Lenovo Thinkpad T520
# Linux t520 3.8.0-19-generic #30-Ubuntu SMP Wed May 1 16:35:23 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux
# compiled with gc
# Intel(R) Core(TM) i7-2760QM CPU @ 2.40GHz

benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            4857438000   4955653141   +2.02%
BenchmarkFannkuch11              4349003000   3270275245  -24.80%
BenchmarkFmtFprintfEmpty                131           92  -29.47%
BenchmarkFmtFprintfString               421          269  -36.10%
BenchmarkFmtFprintfInt                  311          184  -40.84%
BenchmarkFmtFprintfIntInt               511          309  -39.53%
BenchmarkFmtFprintfPrefixedInt          455          336  -26.15%
BenchmarkFmtFprintfFloat                653          477  -26.95%
BenchmarkFmtManyArgs                   2017         1198  -40.60%
BenchmarkGobDecode                 19226730     11209019  -41.70%
BenchmarkGobEncode                 10088870     13034268  +29.19%
BenchmarkGzip                     438423200    451472530   +2.98%
BenchmarkGunzip                   199793100    126062578  -36.90%
BenchmarkHTTPClientServer            410510        45891  -88.82%
BenchmarkJSONEncode                69196620     41917677  -39.42%
BenchmarkJSONDecode               262558000     93703694  -64.31%
BenchmarkMandelbrot200              6929052      4429470  -36.07%
BenchmarkGoParse                    7422098      5915444  -20.30%
BenchmarkRegexpMatchEasy0_32            149          125  -16.11%
BenchmarkRegexpMatchEasy0_1K            405          324  -20.00%
BenchmarkRegexpMatchEasy1_32            130           97  -24.77%
BenchmarkRegexpMatchEasy1_1K            931          883   -5.16%
BenchmarkRegexpMatchMedium_32           214          184  -14.02%
BenchmarkRegexpMatchMedium_1K         68583        71149   +3.74%
BenchmarkRegexpMatchHard_32            3467         3304   -4.70%
BenchmarkRegexpMatchHard_1K          110592       108762   -1.65%
BenchmarkRevcomp                  932790200    847470804   -9.15%
BenchmarkTemplate                 382107000    124023343  -67.54%
BenchmarkTimeParse                     1050          445  -57.62%
BenchmarkTimeFormat                    2276          502  -77.94%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    39.92        68.47    1.72x
BenchmarkGobEncode                    76.08        58.89    0.77x
BenchmarkGzip                         44.26        42.98    0.97x
BenchmarkGunzip                       97.12       153.93    1.58x
BenchmarkJSONEncode                   28.04        46.29    1.65x
BenchmarkJSONDecode                    7.39        20.71    2.80x
BenchmarkGoParse                       7.80         9.79    1.26x
BenchmarkRegexpMatchEasy0_32         214.20       254.75    1.19x
BenchmarkRegexpMatchEasy0_1K        2523.79      3159.18    1.25x
BenchmarkRegexpMatchEasy1_32         244.33       327.10    1.34x
BenchmarkRegexpMatchEasy1_1K        1099.64      1158.68    1.05x
BenchmarkRegexpMatchMedium_32          4.66         5.41    1.16x
BenchmarkRegexpMatchMedium_1K         14.93        14.39    0.96x
BenchmarkRegexpMatchHard_32            9.23         9.68    1.05x
BenchmarkRegexpMatchHard_1K            9.26         9.42    1.02x
BenchmarkRevcomp                     272.48       299.91    1.10x
BenchmarkTemplate                      5.08        15.65    3.08x

benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                 34           92  +171.64%
BenchmarkAppend1Byte                           453          196  -56.73%
BenchmarkAppend4Bytes                          846          275  -67.49%
BenchmarkAppend8Bytes                          461          350  -24.08%
BenchmarkAppend16Bytes                         461          483   +4.77%
BenchmarkAppend32Bytes                         463          503   +8.64%
BenchmarkAppendSpecialCase                      42           58  +38.03%
BenchmarkSelectUncontended                     236          245   +3.81%
BenchmarkSelectContended                       241          246   +2.07%
BenchmarkSelectNonblock                        100          102   +2.00%
BenchmarkChanUncontended                        62           64   +3.04%
BenchmarkChanContended                          62           64   +3.36%
BenchmarkChanSync                              173          138  -20.23%
BenchmarkChanProdCons0                         181          144  -20.44%
BenchmarkChanProdCons10                         94           87   -7.70%
BenchmarkChanProdCons100                        66           68   +1.80%
BenchmarkChanProdConsWork0                    1817          717  -60.54%
BenchmarkChanProdConsWork10                   1722          662  -61.56%
BenchmarkChanProdConsWork100                  1692          642  -62.06%
BenchmarkChanCreation                          181          179   -1.10%
BenchmarkChanSem                                60           60   +0.17%
BenchmarkCallClosure                             2            2  -19.86%
